S.No.,State Code,State Name,Local Body Code,Local Body Version,Local Body Name (In English),Local Body Name (In Local),Localbody Type Code,Census 2011 Code
1141,1,Jammu And Kashmir,248174,2,Municipal Council Kulgam,Municipal Council Kulgam,6,800040
1142,1,Jammu And Kashmir,248034,4,Municipal Council Kupwara,Municipal Council Kupwara,6,800001
1143,1,Jammu And Kashmir,248042,3,Municipal Council Poonch,Municipal Council Poonch,6,800062
1144,1,Jammu And Kashmir,248166,3,Municipal Council Pulwama,Municipal Council Pulwama,6,800026
1145,1,Jammu And Kashmir,276592,7,Municipal Council Rajouri,Municipal Council Rajouri,6,0
1146,1,Jammu And Kashmir,248037,4,Municipal Council Ramban,Municipal Council Ramban,6,800052
1147,1,Jammu And Kashmir,276590,3,Municipal Council Reasi,Municipal Council Reasi,6,0
1148,1,Jammu And Kashmir,248202,7,Municipal Council Samba,Municipal Council Samba,6,800079
1149,1,Jammu And Kashmir,248167,4,Municipal Council Shopian,Municipal Council Shopian,6,800027
1150,1,Jammu And Kashmir,248149,3,Municipal Council Sopore,Municipal Council Sopore,6,800003
1151,1,Jammu And Kashmir,276587,15,Municipal Council Udhampur,Municipal Council Udhampur,6,0
1152,1,Jammu And Kashmir,248156,23,Srinagar Municipal Corporation,Srinagar Municipal Corporation,4,800013
1153,20,Jharkhand,253166,2,Adityapur,आदित्यपुर,4,801801
1154,20,Jharkhand,290364,9,Badaki Suriya,बड़की सरैया,7,352566
1155,20,Jharkhand,277137,5,Barharwa,बरहरवा,7,359741
1156,20,Jharkhand,250352,1,Basukinath,वासुकिनाथ,7,801790
1157,20,Jharkhand,253231,1,Bishrampur,बिश्रामपुर,5,801785
1158,20,Jharkhand,250415,1,Bundu,बुंडू,7,801795
1159,20,Jharkhand,250430,1,Chaibasa,चाईबासा,5,801800
1160,20,Jharkhand,250416,1,Chakradharpur,चक्रधरपुर,5,801799
1161,20,Jharkhand,250445,2,Chakulia,चाकुलिया,7,801783
1162,20,Jharkhand,248056,5,Chas,चास,4,801778
1163,20,Jharkhand,248129,1,Chatra,चतरा,5,801765
1164,20,Jharkhand,300374,2,Chhatarpur ,Chhatarpur Municipal Corporation,7,0
1165,20,Jharkhand,248055,3,Chirkunda,Chirkunda,5,801776
1166,20,Jharkhand,248049,3,Deoghar,देवघर,4,801769
